PI,Phenotype
ZJ-Y314,NA
PI_578357,NA
PI_366120,1
PI_562565,NA
PI_339871A,1
PI_393551,1
ZJ-Y108,NA
ZJ-Y2300-1,NA
PI_593983,NA
PI_407027,1
PI_562559,NA
PI_597459C,NA
ZJ-Y155,NA
PI_447004,1
PI_423991,1
PI_407170,1
PI_407131,1
PI_597461C,NA
ZJ-Y188,NA
PI_479752,1
PI_468916,1
PI_366123,1
PI_458536,1
PI_407197,1
ZJ-Y191,NA
PI_522182B,1
PI_483460B,1
PI_378692,1
PI_464929A,1
PI_407246,1
PI_464935,1
ZJ-Y200,NA
PI_522228,1
PI_483464A,1
PI_407275,1
PI_464929B,1
PI_407301,1
PI_326582A,1
PI_522216,1
PI_468400A,1
PI_479769,1
PI_424096,1
ZJ-Y217,NA
PI_504286,NA
PI_458538,1
PI_458535,1
PI_407285,1
ZJ-ZY020,NA
ZJ-Y282,NA
PI_407288,1
PI_578341,NA
PI_549046,1
PI_464927A,1
PI_483465,1
PI_507662,1
ZJ-YJ038,NA
PI_547831,1
PI_597459D,NA
PI_597461A,NA
PI_522226,1
ZJ-YJ086,NA
PI_339734,1
Xiao_Bai_Dou,NA
PI_594615,1
Yu_Shi_Dou,NA
PI_548445,1
You_Pi_Zhi_Hei_Dou,NA
PI_196166,1
PI_467343,2
Dong_Shan_Bai_Ma_Dou,NA
Sha_Xin_Dou,NA
Long_quan_Da_Dou,NA
PI_603384,2
Qing_Dou,NA
Nan_Guan_Xiao_PI_Qing,NA
PI_416971,2
PI_594777,2
PI_548342,1
PI_548485,2
Xia_Hei_Dou,NA
PI_Xian_Da_Zi_Huo_Cao,NA
PI_507355,1
PI_587552,1
Yu_Jiang_Wu_Yue_Niu_Mao_Huang,NA
Da_Li_Huang,NA
PI_603336,2
PI_437321,1
PI_603596,2
Tian_E_Dan,NA
PI_602991,2
PI_407801,1
PI_Xian_Nian_Zhuang_Liu_Yue_Xian,NA
Yi_Zheng_Da_Li_Huang_Dou,NA
PI_398296,1
Da_Qing_Ren,NA
PI_603420,1
Hu_Pi_Dou,NA
Xiang_Dou_No_4,NA
PI_437654,1
Da_Tun_Xiao_Hei_Dou,NA
PI_437679,1
PI_548417,1
PI_80837,1
PI_594788,NA
PI_594301,1
PI_578457A,1
Tai_Xin_Niu_Mao_Huang_Yi,NA
Xia_Men_Teng_Zai_Dou,NA
PI_603756,2
PI_80822,2
PI_438498,1
PI_548391,2
PI_548379,1
PI_153262,1
PI_567298,1
PI_603318,2
PI_437653,1
Tong_an_Zi_Hong_Dou,NA
PI_88479,2
Hong_Zhu_Dou,NA
Jin_Shan_Cha_Zhu_Shi_Dou,NA
He_Dou,NA
PI_567189A,1
PI_548406,1
PI_84631,2
Xiao_Bai_Qi,NA
PI_323576,1
PI_548382,2
PI_416890,2
PI_587752,2
PI_424391,1
Pei_Xian_Xiao_You_Dou,NA
PI_603357,1
Hong_Hu_Liu_Yue_Bao,NA
PI_437944,1
Sha_Xian_Qin_Dou,NA
PI_157421,1
Ji_Shan_De_Da_Li_Hei_Dou,NA
Bai_Mao_Dou,NA
PI_567364,2
PI_84987,1
PI_548298,2
PI_423967,1
PI_548488,2
Guang_Rao_Da_Qing_Dou,NA
PI_423954,2
PI_587848,1
PI_587666,2
Ni_Dou,NA
Sha_Xian_Wu_Dou,NA
PI_399043,2
Ni_Ding_Hua_Mei_Dou,NA
PI_84987A,1
PI_567395,1
PI_317334A,1
Xiao_Huang_Dou,NA
PI_548456,2
PI_603424A,2
PI_588053A,1
PI_594629,1
PI_83945-3,NA
Jin_Huang_No_35,NA
PI_567258,1
PI_404182,NA
Nian_Shi_Huang_Dou,NA
PI_86024,2
PI_567503,2
PI_317336,1
Xiao_Mi_Dou,NA
PI_594579,1
Xin_Xian_Xiao_Huang_Dou,NA
PI_253658B,2
PI_603516,1
PI_567071A,NA
Dai_Mi_Dou,NA
PI_567293,2
PI_407849,2
PI_548348,2
PI_407716,2
PI_89138,2
Cu_Dou,NA
PI_417398,2
