Chr,Pos,p-val
1,24952,0.84568
1,26003,0.93083
1,29671,0.8968
1,30712,0.13153
1,37018,0.53902
1,38482,0.13153
1,46373,0.76761
1,49238,0.46762
1,61191,0.7427
1,81844,0.742
1,83156,0.87148
1,90280,0.76761
1,92363,0.76761
1,96802,0.77559
1,98213,0.90421
1,138690,0.65159
1,148336,0.90421
1,166728,0.37216
1,183377,0.89126
1,185211,0.45295
1,186170,0.90421
1,225505,0.93973
1,234135,0.88293
1,237230,0.81106
1,242879,0.81053
1,244125,0.30919
1,245030,0.40105
1,281645,0.22837
1,283533,0.59752
1,334437,0.88681
1,377146,0.96837
1,378633,0.18759
1,382080,0.14896
1,388640,0.74985
1,401923,0.1833
1,409034,0.11702
1,423213,0.89289
1,429656,0.1171
1,432637,0.09334
1,439444,0.11948
1,452504,0.17588
1,458739,0.84426
1,465259,0.78549
1,470982,0.21663
1,471895,0.57725
1,477326,0.13765
1,510643,0.17947
1,512411,0.4133
1,554257,0.56526
1,566240,0.94929
1,595508,0.85038
1,628950,0.873
1,683307,0.85959
1,688904,0.96409
1,700521,0.39168
1,801884,0.53043
1,807882,0.5317
1,823278,0.65109
1,832468,0.90719
1,850106,0.62445
1,862022,0.56555
1,875209,0.24704
1,901990,0.46172
1,921362,0.09603
1,925792,0.25867
1,955846,0.47895
1,964146,0.32971
1,974080,0.79978
1,979924,0.06701
1,1006995,0.89704
1,1011973,0.57013
1,1013994,0.92914
1,1059707,0.30811
1,1097741,0.52352
1,1107228,0.90415
1,1234293,0.82078
1,1237296,0.82578
1,1247422,0.45571
1,1270186,0.90447
1,1271143,0.33219
1,1273914,0.25547
1,1276908,0.96482
1,1301020,0.91662
1,1302531,0.76104
1,1308879,0.92969
1,1309778,0.7121
1,1314722,0.279
1,1337697,0.74197
1,1339744,0.18189
1,1344360,0.39955
1,1350243,0.84578
1,1373443,0.88473
1,1379494,0.86786
1,1384749,0.91201
1,1397232,0.9037
1,1402999,0.78222
1,1419229,0.88876
1,1423756,0.72117
1,1475349,0.86043
1,1482285,0.89292
1,1483918,0.82239
1,1486712,0.65053
1,1490607,0.79605
1,1498823,0.59908
1,1508766,0.5002
1,1513766,0.99399
1,1516846,0.5578
1,1521991,0.86601
1,1528791,0.24683
1,1531899,0.85693
1,1533882,0.40011
