Chr,Pos,P-val
1,24952,0.201268567
1,26003,0.83477148
1,29671,0.862271108
1,30712,0.333264885
1,37018,0.996680421
1,38482,0.236983559
1,46373,0.833892064
1,49238,0.992935803
1,61191,0.159388146
1,81844,0.248242235
1,83156,0.519596041
1,90280,0.484549145
1,92363,0.539214282
1,96802,0.177049318
1,98213,0.496197669
1,138690,0.752936506
1,148336,0.622362628
1,166728,0.817768329
1,183377,0.688296233
1,185211,0.702182029
1,186170,0.596497
1,225505,0.727902749
1,234135,0.561469766
1,237230,0.700151942
1,242879,0.495715396
1,244125,0.226272039
1,245030,0.909461856
1,281645,0.637673002
1,283533,0.184272644
1,334437,0.227466934
1,335952,1
1,368054,0.752689395
1,377146,0.538137105
1,378633,0.942208994
1,382080,0.624503063
1,388640,0.40483654
1,401923,0.599902245
1,409034,0.79805331
1,423213,0.624875097
1,429656,0.816352849
1,432637,0.559067971
1,439444,0.941247578
1,452504,0.996674513
1,458739,0.920352534
1,465259,0.181999957
1,470982,0.776538623
1,471895,0.66749604
1,477326,0.516361564
1,510643,0.787549228
1,512411,0.898279204
1,554257,0.750428196
1,566240,0.570880732
1,571427,0.096743925
1,595508,0.338432141
1,628950,0.99646841
1,683307,0.676409879
1,688904,0.382942112
1,700521,0.171644081
1,801884,0.322189904
1,807882,0.865263358
1,823278,0.210777594
1,832468,0.466100861
1,850106,0.147609439
1,862022,0.171317997
1,875209,0.956048892
1,901990,0.990853764
1,921362,0.343505362
1,925792,0.235802776
1,955846,0.93234726
1,964146,0.500395013
1,974080,0.841319243
1,979924,0.335453269
1,1006995,0.944981389
1,1011973,0.510044716
1,1013994,0.635019011
1,1059707,0.662814072
1,1097741,0.671110299
1,1107228,0.416989695
1,1234293,0.517614587
1,1237296,0.492756692
1,1247422,0.793056032
1,1270186,0.84831808
1,1271143,0.803250146
1,1273914,0.97562447
1,1276908,0.510346214
1,1301020,0.960590058
1,1302531,0.479785419
1,1308879,0.470845417
1,1309778,0.52393879
1,1314722,0.957158353
1,1337697,0.671273096
1,1339744,0.312236121
1,1344360,0.321044186
1,1350243,0.760542055
1,1373443,0.647250709
1,1379494,0.989331049
1,1384749,0.723946981
1,1397232,0.285566953
1,1402999,0.860901563
1,1419229,0.835327155
1,1423756,0.878035994
1,1475349,0.356314495
1,1482285,0.412356847
1,1483918,0.265282287
1,1486712,0.231787409
1,1490607,0.223156494
1,1498823,0.758947105
1,1508766,0.593427058
1,1513766,0.918893434
1,1516846,0.892954692
1,1521991,0.479201297
1,1528791,0.731229163
1,1531899,0.060503452
1,1533882,0.503674634
1,1541093,0.048848959
1,1549921,0.252441053
1,1553130,0.239216391
1,1556076,0.202718902
1,1580127,0.689095919
1,1600224,0.055007203
1,1608091,0.769159069
1,1616784,0.861004607
1,1619075,0.852234153
1,1624141,0.217342899
1,1641539,0.403864451
1,1653600,0.132819476
1,1675532,0.123927607
1,1696769,0.556014006
1,1722193,0.065877131
1,1745945,0.206449476
1,1756948,0.730484424
1,1786647,0.329538753
1,1796956,0.49776804
1,1804463,0.727567022
1,1866808,0.337576203
1,1878694,0.888881481
1,1881454,0.586770977
1,1887609,0.498103681
1,1889374,0.318904574
1,1902673,0.374267861
1,1905368,0.681551154
1,1936927,0.830181444
1,1976480,0.151160615
1,1990687,0.068809906
1,2010584,0.183281607
1,2038467,0.337921344
1,2039986,1
1,2042156,0.307275214
1,2059401,0.844455384
1,2065014,0.351911609
1,2102513,0.113085676
1,2126801,0.022083395
1,2136619,0.820757029
1,2183554,0.646350479
1,2187616,0.727851063
1,2194371,0.121787454
1,2195303,0.991999878
1,2205418,0.683207998
1,2211215,0.366708134
1,2218064,0.260612656
1,2223451,0.340263036
1,2230781,0.978657774
1,2246694,0.315189749
1,2274638,0.667033317
1,2275959,0.950240758
1,2279828,0.401019229
1,2284699,0.286653866
1,2287938,0.153345784
1,2296433,0.336614964
1,2355288,0.001494777
1,2364655,0.38949662
1,2378119,0.619411522
1,2381212,0.113047085
1,2384412,0.055071435
1,2396176,0.750439065
1,2421404,0.036911138
1,2426934,0.254402985
1,2431330,0.899654437
1,2436476,1
1,2481744,0.099556107
1,2489455,0.192440936
1,2506568,0.237835524
1,2510357,1
1,2523130,0.893394805
1,2525149,0.982672335
1,2555747,0.603240833
1,2560021,0.679962956
1,2565976,0.408834286
1,2580590,0.369352409
1,2601764,0.336684832
1,2605265,0.46414875
1,2610178,0.237992705
1,2611571,0.493513557
1,2614460,0.185083736
1,2617317,0.803570018
1,2626192,0.952707774
1,2635762,0.841264099
1,2637003,0.781887941
1,2654324,0.0116932
1,2691624,0.028314162
1,2705392,0.049979593
1,2715338,0.020625928
1,2724688,0.04012772
1,2753216,0.395421489
1,2755143,0.301724218
1,2763102,0.490386918
1,2769018,0.54583034
1,2778279,0.11072176
1,2790162,0.872651578
1,2791752,0.974906583
1,2796266,0.882245555
1,2801896,0.877669451
1,2812412,0.24469633
1,2825569,0.47180234
1,2829751,0.166568762
1,2892575,1
1,2915019,0.253945675
1,2944680,0.040849113
1,3031424,0.287469939
1,3033126,0.206089022
1,3038334,0.595687618
1,3051719,0.610029787
1,3071924,0.66582916
1,3080035,0.803544385
1,3099830,0.954339198
1,3128484,0.095165944
1,3137444,0.005869924
1,3160446,0.028643849
1,3162076,0.466462138
1,3176824,0.373518664
1,3178447,0.877386162
1,3237203,0.055855382
1,3251994,1
1,3276003,0.775377155
1,3281308,0.212359786
1,3290574,0.844217307
1,3296361,0.613999798
1,3300420,0.826914329
1,3312803,0.164003699
1,3313958,0.489927343
1,3315586,0.730175945
1,3320292,0.484653689
1,3323142,0.056378236
1,3328987,0.623159477
1,3333585,0.866420361
1,3336772,0.181974515
1,3342559,0.229134435
1,3345138,0.239046284
1,3355052,0.604081237
1,3375794,0.670271638
1,3378315,0.619608837
1,3382442,0.690474295
1,3387651,0.918339595
1,3404910,0.395736897
1,3415315,0.538379921
1,3427220,0.67625028
1,3458900,0.47624397
1,3483188,0.581432349
1,3518783,0.093440519
1,3524524,0.902894205
1,3530881,0.428534973
1,3536177,0.226802235
1,3548683,0.56154684
1,3562237,0.80421369
1,3571972,0.905476134
1,3574425,0.907178255
1,3579099,0.622228863
1,3581262,0.156570172
1,3582745,0.417847731
1,3585591,0.543543707
1,3589812,0.649764018
1,3593529,0.442086688
1,3595146,0.963040459
1,3597388,0.151648033
1,3605511,0.287538976
1,3608479,0.366796349
1,3621743,0.574038736
1,3629512,0.856655323
1,3632583,0.828557003
1,3649944,0.93460735
1,3655869,0.27634904
1,3685509,0.646021596
1,3687367,0.718056421
1,3689171,0.533623129
1,3694704,0.363695047
1,3698664,0.490976107
1,3734020,0.982250585
1,3735682,0.703667468
1,3737074,0.552740232
