Chr,Pos,P-val
1,26003,0.69642
1,29671,0.83817
1,30712,0.96826
1,46373,0.97704
1,49238,0.63308
1,61191,0.81866
1,81844,0.63211
1,83156,0.724
1,90280,0.80628
1,92363,0.86221
1,96802,0.88724
1,98213,0.86176
1,138690,0.80217
1,148336,0.92781
1,166728,0.83642
1,183377,0.84052
1,185211,0.83473
1,186170,0.97582
1,225505,0.95308
1,234135,0.57254
1,237230,0.73244
1,242879,0.79153
1,244125,0.86067
1,245030,0.38265
1,281645,0.93946
1,283533,0.93028
1,334437,0.28246
1,335952,0.76221
1,377146,0.51031
1,378633,0.17197
1,382080,0.45708
1,388640,0.81223
1,409034,0.26537
1,423213,0.20787
1,429656,0.38524
1,432637,0.59096
1,439444,0.38117
1,452504,0.86921
1,458739,0.34709
1,465259,0.82543
1,470982,0.42764
1,471895,0.48094
1,477326,0.69819
1,510643,0.69522
1,512411,0.65027
1,554257,0.63539
1,566240,0.51285
1,571427,0.93285
1,595508,0.72957
1,628950,0.71809
1,683307,0.70631
1,688904,0.756
1,700521,0.99489
1,801884,0.97892
1,807882,0.6841
1,823278,0.27247
1,850106,0.69803
1,862022,0.44661
1,875209,0.78309
1,901990,0.77044
1,921362,0.83498
1,925792,0.44656
1,955846,0.90281
1,964146,0.84854
1,974080,0.50557
1,979924,0.61759
1,1006995,0.68784
1,1013994,0.27016
1,1059707,0.38521
1,1097741,0.95045
1,1107228,0.30715
1,1234293,0.1495
1,1237296,0.33793
1,1247422,0.38562
1,1270186,0.21628
1,1271143,0.59905
1,1276908,0.90875
1,1301020,0.0569
1,1302531,0.26932
1,1308879,0.09903
1,1309778,0.37681
1,1314722,0.83679
1,1337697,0.26283
1,1339744,0.50854
1,1344360,0.07417
1,1350243,0.30329
1,1373443,0.42753
1,1379494,0.50178
1,1397232,0.70107
1,1402999,0.90376
1,1423756,0.5802
1,1482285,0.27635
1,1486712,0.52298
1,1490607,0.43811
1,1498823,0.47787
1,1508766,0.59123
1,1513766,0.17325
1,1516846,0.44074
1,1521991,0.51063
1,1531899,0.7661
1,1533882,0.71296
1,1541093,0.88718
1,1549921,0.82473
1,1553130,0.88482
1,1556076,0.55485
1,1580127,0.51539
1,1600224,0.97282
1,1616784,0.47176
1,1619075,0.42134
1,1624141,0.62864
1,1641539,0.51993
1,1653600,0.47451
1,1675532,0.80462
1,1696769,0.90884
1,1722193,0.77975
1,1745945,0.77074
1,1756948,0.65126
1,1786647,0.70155
1,1796956,0.70584
1,1804463,0.6864
1,1866808,0.4163
1,1878694,0.91986
1,1881454,0.78184
1,1887609,0.71928
1,1889374,0.57528
1,1902673,0.20843
1,1905368,0.87722
1,1936927,0.62764
1,1976480,0.66929
1,1990687,0.58433
1,2010584,0.93132
1,2038467,0.688
1,2039986,0.76416
1,2042156,0.65885
1,2059401,0.7813
1,2065014,0.52549
1,2102513,0.62489
1,2126801,0.12908
1,2136619,0.66749
1,2183554,0.27028
1,2187616,0.60289
1,2194371,0.33046
1,2195303,0.24111
1,2205418,0.33673
1,2211215,0.16033
1,2218064,0.35381
1,2223451,0.03767
1,2230781,0.34941
1,2246694,0.06377
1,2274638,0.62328
1,2275959,0.17617
1,2279828,0.5859
1,2284699,0.28901
1,2287938,0.88031
1,2296433,0.74891
1,2355288,0.85812
1,2364655,0.49796
1,2378119,0.17622
1,2381212,0.73588
1,2384412,0.69819
1,2396176,0.73041
1,2421404,0.93347
1,2426934,0.92765
1,2431330,0.72344
1,2481744,0.44381
1,2489455,0.43893
1,2506568,0.42149
1,2510357,0.95922
1,2523130,0.66617
1,2525149,0.45921
1,2555747,0.15858
1,2560021,0.20981
1,2565976,0.93103
1,2580590,0.19037
1,2601764,0.17525
1,2605265,0.17355
1,2610178,0.65106
1,2611571,0.52153
1,2614460,0.3102
1,2617317,0.58024
1,2626192,0.49602
